City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,81.64,clear sky,-2.5744,150.7967,Nusa Island Retreat
4,Zinder,NE,89.85,overcast clouds,13.8072,8.9881,Hotel de Ville
5,Butaritari,KI,83.05,few clouds,3.0707,172.7902,Isles Sunset Lodge
8,Albany,US,76.87,broken clouds,42.6001,-73.9662,
11,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
12,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
13,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
15,Evanston,US,79.72,scattered clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
21,Hamilton,US,81.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
23,Hithadhoo,MV,80.78,moderate rain,-0.6,73.0833,Scoop Guest House
24,Acapulco,MX,87.78,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
34,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
39,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
43,Soma,TR,78.89,clear sky,39.1855,27.6094,Hotel Labella
49,Dong Hoi,VN,83.48,overcast clouds,17.4833,106.6,Nam Long Hotel
50,Piney Green,US,86.95,overcast clouds,34.716,-77.3202,Holiday City Mobile Home Community
53,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Atuona,PF,77.14,scattered clouds,-9.8,-139.0333,Villa Enata
61,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
72,Waddan,LY,89.08,clear sky,29.1614,16.139,محل الشريف محمد العايب
73,Hilo,US,79.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
76,Plover,US,77.85,scattered clouds,44.4564,-89.544,Hampton Inn Plover-Stevens Point
78,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
81,Namatanai,PG,79.18,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
84,Labuan,MY,77.36,thunderstorm,5.2767,115.2417,Tiara Labuan Hotel
85,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
89,Novopokrovka,UA,75.58,overcast clouds,49.8425,36.5477,Пудж дом
94,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
95,Asifabad,IN,77.05,overcast clouds,19.3667,79.2833,సిడం కైలాష్
96,Dingle,PH,77.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
97,Nichinan,JP,77.76,broken clouds,31.6,131.3667,Guest House Aki
111,Kieta,PG,78.85,clear sky,-6.2167,155.6333,Uruna Bay Retreat
114,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
117,Kandrian,PG,77.29,broken clouds,-6.2167,149.55,Kandrian Station
118,Nara,JP,81.25,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
119,Vanimo,PG,76.51,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
122,Etropole,BG,82.56,clear sky,42.8333,24.0,Everest Hotel
127,Fort Nelson,CA,83.79,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
130,Rio Branco,BR,88.41,clear sky,-9.9747,-67.81,João Paulo Hotel
132,Hobyo,SO,77.7,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
135,Faanui,PF,77.47,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Mangrol,IN,81.1,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
147,Guatape,CO,80.73,scattered clouds,6.2327,-75.1586,CASA KAYAM Hostal y Residencia Artística
152,Thompson,CA,82.56,scattered clouds,55.7435,-97.8558,Burntwood Hotel
153,Kijang,KR,80.33,broken clouds,35.2442,129.2139,Samyang Beach Villa
158,Ratnagiri,IN,79.5,overcast clouds,16.9833,73.3,Hotel Landmark
159,Bocas Del Toro,PA,88.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
163,Noshiro,JP,75.0,clear sky,40.2039,140.0242,Azuma Ryokan
165,Kutum,SD,76.05,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
166,Bubaque,GW,79.38,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
167,Ramjibanpur,IN,81.21,overcast clouds,22.8333,87.6167,"দাসপাড়া, ৩ নং ওয়ার্ড"
170,Sao Filipe,CV,76.03,few clouds,14.8961,-24.4956,Hotel Xaguate
172,Wuzhou,CN,77.5,overcast clouds,23.4833,111.3167,Wuzhou Hostel
174,Jasper,US,85.01,scattered clouds,37.2001,-94.3502,Guest House Motel
176,Middle Island,US,76.84,broken clouds,40.8843,-72.9373,Camp Wilderness (not an actual campground)
178,Mana,GF,80.46,broken clouds,5.6592,-53.7767,LE SAMANA
179,Bandarbeyla,SO,79.11,clear sky,9.4942,50.8122,JABIR HOTEL
182,Jiazi,CN,81.82,overcast clouds,22.8779,116.067,Hotel Jin Hao
186,Puerto Quijarro,BO,86.29,clear sky,-17.7833,-57.7667,Hotel palance
198,Kamaishi,JP,75.76,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
200,Waynesboro,US,84.78,scattered clouds,38.0685,-78.8895,"Holiday Inn Express & Suites Waynesboro-Route 340, an IHG Hotel"
201,Bardiyah,LY,80.89,clear sky,31.7561,25.0865,بورتو بردية
204,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
205,Dwarka,IN,81.52,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
207,Celestun,MX,83.84,broken clouds,20.8667,-90.4,Posada Lilia
208,Gallup,US,79.56,overcast clouds,35.5281,-108.7426,El Capitan Motel
213,Kaspiyskiy,RU,79.39,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
217,Bethel,US,75.85,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
219,Asau,RO,75.76,light rain,46.4333,26.4,Casa Mika Ciobanus
220,Sur,OM,89.65,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
221,Labuhan,ID,76.8,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
222,Slave Lake,CA,80.58,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
227,Caruray,PH,80.58,overcast clouds,10.3094,119.0128,
230,Pacific Grove,US,83.61,scattered clouds,36.6177,-121.9166,Lovers Point Inn
232,Haines Junction,CA,75.15,scattered clouds,60.7522,-137.5108,Parkside Inn
235,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
237,Matara,LK,78.46,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
240,Yellowknife,CA,88.32,clear sky,62.456,-114.3525,The Explorer Hotel
244,Chardara,KZ,76.48,broken clouds,41.2547,67.9692,Жанаргул
246,Ormara,PK,81.45,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
247,Majene,ID,76.86,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
248,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
250,Harper,LR,76.17,broken clouds,4.375,-7.7169,Screensaver
251,Seoul,KR,76.6,light rain,37.5683,126.9778,롯데호텔 서울
256,The Pas,CA,80.62,haze,53.8251,-101.2541,Wescana Inn
257,Kampong Thum,KH,77.22,overcast clouds,12.7111,104.8887,Sambor Village Hotel
259,Guerrero Negro,MX,85.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
261,Wanning,CN,80.71,overcast clouds,18.8003,110.3967,Paradise Hotel
263,Blackfoot,US,86.58,broken clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot
265,Zhanaozen,KZ,85.05,clear sky,43.3,52.8,K.korabay 28A
276,San Quintin,MX,78.55,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
279,North Bend,US,75.92,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
281,Norman Wells,CA,84.24,smoke,65.282,-126.8329,Heritage Hotel
285,Muskegon,US,76.17,scattered clouds,43.3,-86.1334,Timberline Estates
289,Wencheng,CN,76.14,clear sky,33.0559,113.7978,Ruyi Hostel
290,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
291,Makhinjauri,GE,76.86,broken clouds,41.6739,41.694,Golden Anchor
294,Nipawin,CA,87.84,few clouds,53.3668,-104.0009,Tobin Lake Motel
295,Sechura,PE,75.47,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
296,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
301,Pasni,PK,81.19,overcast clouds,25.2631,63.471,Kashmiri Hotal
306,Mazagao,BR,87.85,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
309,Cortez,US,83.52,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
310,Qiongshan,CN,78.78,light rain,20.0058,110.3542,Sun City Restaurant
314,Rabaul,PG,78.49,few clouds,-4.1967,152.1721,Rabaul Hotel
318,Katsuura,JP,82.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
320,Mineiros,BR,75.36,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
321,Kato Khorion,GR,88.65,clear sky,35.05,25.7833,ARION PALACE HOTEL
325,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
326,Lorengau,PG,82.6,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
327,Lotofaga,WS,80.38,moderate rain,-13.9764,-171.8578,Sataoa Beach Fales
328,Vung Tau,VN,80.51,overcast clouds,10.346,107.0843,Green hotel
329,Zavoaia,RO,77.95,clear sky,44.95,27.4833,
331,Yagoua,CM,75.43,overcast clouds,10.3411,15.2329,Sahel Hotel
333,Maturin,VE,83.66,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
336,Mumford,GH,75.36,scattered clouds,5.2618,-0.759,Spanish Villa
339,Cacak,RS,84.7,clear sky,43.8914,20.3497,Aveny
343,San Pedro,PH,83.43,light rain,14.35,121.0167,Villa Veronica Resort Private Pool
348,Zhezkazgan,KZ,82.72,broken clouds,47.8043,67.7144,Hotel Zumrat
358,Mecca,SA,87.73,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
359,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
361,Luis Correia,BR,79.29,overcast clouds,-2.8792,-41.6669,Hotel Amarração
376,Tuy Hoa,VN,83.21,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
377,Crossville,US,81.18,overcast clouds,35.949,-85.0269,Hampton Inn Crossville
379,Carutapera,BR,75.96,broken clouds,-1.195,-46.02,Lidera
380,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
383,Verkhniy Baskunchak,RU,85.1,clear sky,48.2256,46.7217,Kombat
388,Cedar City,US,83.39,few clouds,37.6775,-113.0619,Hampton Inn Cedar City
389,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
393,Yenagoa,NG,76.64,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
395,Hudson,US,79.05,broken clouds,40.7168,-74.0663,Ramada by Wyndham Jersey City
398,Shingu,JP,78.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
399,Sinnamary,GF,81.12,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
405,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
406,Beaufort,MY,77.16,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
409,Ena,JP,75.99,clear sky,35.4498,137.4128,Enakyo Grand Hotel
410,Aksu,CN,75.97,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
413,Saveh,IR,85.84,broken clouds,35.0213,50.3566,مجید کریمی
418,Port Blair,IN,81.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
420,Riberalta,BO,88.0,smoke,-10.9833,-66.1,Hotel Colonial
427,Samarai,PG,75.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
429,Benghazi,LY,82.65,clear sky,32.1167,20.0667,Tibesti Hotel
433,Upata,VE,77.76,scattered clouds,8.0086,-62.3989,Posada Villa Nela
436,Barkhan,PK,84.9,clear sky,29.8977,69.5256,Sardar
439,Praia Da Vitoria,PT,75.76,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
443,Kayankulam,IN,77.49,overcast clouds,9.1833,76.5,Hotel Royal Indraprastha
444,Lompoc,US,89.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
449,Fairbanks,US,75.09,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
451,Pundaguitan,PH,83.05,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
459,Narasaraopet,IN,85.59,overcast clouds,16.25,80.0667,AT International Lodge
