City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Kavieng,PG,-2.5744,150.7967,81.64,76,3,9.04,clear sky,2021-08-01 20:55:54
1,Hermanus,ZA,-34.4187,19.2345,57.9,78,94,4.34,overcast clouds,2021-08-01 20:55:54
2,Upernavik,GL,72.7868,-56.1549,43.11,79,26,13.22,scattered clouds,2021-08-01 20:55:55
3,Vaini,TO,-21.2,-175.2,71.76,83,20,21.85,few clouds,2021-08-01 20:55:55
4,Zinder,NE,13.8072,8.9881,89.85,44,87,10.2,overcast clouds,2021-08-01 20:55:56
5,Butaritari,KI,3.0707,172.7902,83.05,69,13,9.78,few clouds,2021-08-01 20:55:56
6,Castro,BR,-24.7911,-50.0119,50.13,82,69,2.8,broken clouds,2021-08-01 20:55:56
7,Burnie,AU,-41.0667,145.9167,45.19,82,95,5.53,overcast clouds,2021-08-01 20:55:56
8,Albany,US,42.6001,-73.9662,76.87,74,82,1.01,broken clouds,2021-08-01 20:52:48
9,Lossiemouth,GB,57.7214,-3.2834,55.74,80,100,6.78,overcast clouds,2021-08-01 20:55:57
10,Dikson,RU,73.5069,80.5464,39.58,99,98,7.49,overcast clouds,2021-08-01 20:55:57
11,Saint-Georges,GD,12.0564,-61.7485,85.68,79,20,17.27,few clouds,2021-08-01 20:54:32
12,Alofi,NU,-19.0595,-169.9187,76.89,73,75,17.27,broken clouds,2021-08-01 20:55:58
13,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,68,20,13.8,few clouds,2021-08-01 20:55:58
14,Nikolskoye,RU,59.7035,30.7861,64.02,86,7,5.17,clear sky,2021-08-01 20:55:58
15,Evanston,US,42.0411,-87.6901,79.72,62,40,5.99,scattered clouds,2021-08-01 20:51:43
16,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,96,83,8.63,broken clouds,2021-08-01 20:55:59
17,Mataura,NZ,-46.1927,168.8643,40.48,97,73,3.2,broken clouds,2021-08-01 20:55:59
18,Tiksi,RU,71.6872,128.8694,45.91,74,25,5.48,scattered clouds,2021-08-01 20:55:59
